row_id,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,geo_level,Name_Fix
251,Francis Deming,Francis,Deming,Wethersfield,Hartford County,CT,US,town,Francis Deming
252,Henry Channing,Henry,Channing,New London,New London County,CT,US,town,Henry Channing
253,Anne McCurdy,Anne,Mccurdy,East Lyme,New London County,CT,US,town,Anne Mccurdy
254,Richard McCurdy,Richard,Mccurdy,East Lyme,New London County,CT,US,town,Richard Mccurdy
255,Lynde McCurdy,Lynde,Mccurdy,Norwich,New London County,CT,US,town,Lynde Mccurdy
256,Thomas Clark,Thomas,Clark,Derby,New Haven County,CT,US,town,Thomas Clark
257,William Coit,William,Coit,Norwich,New London County,CT,US,town,William Coit
258,Elizabeth Brown,Elizabeth,Brown,Newport,Newport County,RI,US,town,Elizabeth Brown
259,Squier Cady,Squier,Cady,Plainfield,Windham County,CT,US,town,Squier Cady
260,Anthony Bradford and Stephen Hall,Anthony,Bradford,Plainfield,Windham County,CT,US,town,Anthony Bradford | Stephen Hall
261,Anthony Bradford and Stephen Hall,Stephen,Hall,Plainfield,Windham County,CT,US,town,Anthony Bradford | Stephen Hall
262,John Griswold,John,Griswold,East Lyme,New London County,CT,US,town,John Griswold
263,Ozias Pettibone,Ozias,Pettibone,Granby,Hartford County,CT,US,town,Ozias Pettibone
264,Stephen Johnson,Stephen,Johnson,East Lyme,New London County,CT,US,town,Stephen Johnson
265,Martha Williams,Martha,Williams,Brooklyn,Windham County,CT,US,town,Martha Williams
266,Benjamin Wood,Benjamin,Wood,,,NY,US,state,Benjamin Wood
267,Martha Fairchild,Martha,Fairchild,Fairfield,Fairfield County,CT,US,town,Martha Fairchild
268,Abiel Griswold,Abiel,Griswold,Windsor,Hartford County,CT,US,town,Abiel Griswold
269,Reuben Norton,Reuben,Norton,Farmington,Hartford County,CT,US,town,Reuben Norton
270,Benjamin Webster,Benjamin,Webster,Hartford,Hartford County,CT,US,town,Benjamin Webster
271,Nathan Chittenden,Nathan,Chittenden,Guilford,New Haven County,CT,US,town,Nathan Chittenden
272,Samuel Robinson,Samuel,Robinson,Guilford,New Haven County,CT,US,town,Samuel Robinson
273,Jeremiah Wadsworth,Jeremiah,Wadsworth,Hartford,Hartford County,CT,US,town,Jeremiah Wadsworth
274,Isaac Gallup,Isaac,Gallup,Groton,New London County,CT,US,town,Isaac Gallup
275,Thomas Giles,Thomas,Giles,Groton,New London County,CT,US,town,Thomas Giles
