,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,county,geo_level,6p_total
138,561.0,2.0,280.0,51.0,151.0,47.0,Stamford,CT,,['Nathan Weed'],Fairfield County,town,561.02
139,34.0,88.0,17.0,44.0,25.0,10.0,Stamford,CT,,['Anne Brooker'],Fairfield County,town,34.88
140,717.0,60.0,358.0,80.0,273.0,12.0,Stamford,CT,,"['Comfort Clock', 'Comfrot Clock']",Fairfield County,town,717.6
141,446.0,29.0,223.0,14.0,122.0,42.0,Stamford,CT,,['David Hoyt'],Fairfield County,town,446.29
142,803.0,70.0,401.0,85.0,523.0,19.0,Stamford,CT,,['Thaddeus Weed'],Fairfield County,town,803.7
143,21.0,32.0,10.0,66.0,15.0,32.0,Stamford,CT,,['David Waterbury'],Fairfield County,town,21.32
144,222.0,16.0,111.0,8.0,147.0,90.0,Stamford,CT,,['Nathaniel Webb'],Fairfield County,town,222.16
145,106.0,61.0,53.0,31.0,76.0,75.0,Stamford,CT,,['Samuel Hutton'],Fairfield County,town,106.61
146,371.0,88.0,185.0,95.0,270.0,30.0,Stamford,CT,,['Smith Weed'],Fairfield County,town,371.88
147,901.0,34.0,450.0,67.0,245.0,35.0,Lyme,CT,,['William Higgins'],New London County,town,901.34
148,2426.0,54.0,1213.0,27.0,1234.0,66.0,Stratford,CT,,['Robert C Johnson'],Fairfield County,town,2426.54
149,78.0,71.0,39.0,35.0,56.0,67.0,Windsor,CT,,['Hezekiah Chaffee'],Hartford County,town,78.71
150,67.0,70.0,33.0,85.0,57.0,26.0,Windsor,CT,,['John Chaffee'],Hartford County,town,67.7
151,80.0,13.0,40.0,7.0,21.0,63.0,Hartford,CT,,"['Joseph Colton', 'Joseph Cotton']",Hartford County,town,80.13
152,320.0,37.0,160.0,18.0,404.0,45.0,Coventry,CT,,['Jeremiah Ripley'],Tolland County,town,320.37
153,733.0,33.0,366.0,67.0,614.0,16.0,Windsor,CT,,['Josiah Phelps'],Hartford County,town,733.33
154,109.0,24.0,54.0,62.0,37.0,56.0,Woodstock,CT,,['Nehemiah Child'],Windham County,town,109.24
155,258.0,94.0,129.0,48.0,93.0,21.0,Woodstock,CT,Society Treasurer,"['Nehemiah Child Society Treasurer', 'Nehemiah Child', 'Nehemiah Child Treasurer and Co']",Windham County,town,258.94
156,20.0,38.0,10.0,19.0,14.0,69.0,Farmington,CT,,['Phineas Lewis'],Hartford County,town,20.38
157,276.0,90.0,138.0,45.0,148.0,23.0,Woodstock,CT,Proprietors,"['Silas May', 'Silas Mary Treasurer and Co', 'Silas May Proprietors Treasurer']",Windham County,town,276.9
158,116.0,13.0,58.0,7.0,100.0,52.0,Coventry,CT,,['Samuel Doggett'],Tolland County,town,116.13
159,59.0,76.0,29.0,88.0,16.0,13.0,Coventry,CT,,['Elijah House'],Tolland County,town,59.76
160,266.0,66.0,133.0,34.0,206.0,60.0,Brooklyn,CT,,['Samuel Williams'],Windham County,town,266.66
161,283.0,57.0,141.0,79.0,207.0,88.0,Coventry,CT,,['Elijah House'],Tolland County,town,283.57
162,1211.0,79.0,605.0,89.0,324.0,,Hartford,CT,,['John Chenevard'],Hartford County,town,1211.79
163,57.0,13.0,28.0,56.0,,,New London,CT,,['John Deshon'],New London County,town,57.13
164,1018.0,84.0,509.0,43.0,960.0,,Norwich,CT,,['Christopher Leffingwell'],New London County,town,1018.84
165,1118.0,94.0,559.0,47.0,376.0,11.0,Windsor,CT,,['David Rowland'],Hartford County,town,1118.94
166,148.0,45.0,74.0,22.0,367.0,35.0,Hartford,CT,,['Norman Butler'],Hartford County,town,148.45
167,145.0,33.0,72.0,67.0,39.0,23.0,Windsor,CT,,['Sherman Rowland'],Hartford County,town,145.33
168,30.0,48.0,15.0,24.0,8.0,22.0,State of Vermont,VT,,"['Asa Stephens', 'Asa Stevens']",,state,30.48
169,1852.0,46.0,926.0,23.0,1416.0,64.0,Haddam,CT,,['Hezekiah Brainard'],Middlesex County,town,1852.46
170,705.0,66.0,352.0,83.0,576.0,,Norwich,CT,,['Christopher Leffingwell'],New London County,town,705.66
171,1200.0,,600.0,,324.0,,Stafford,CT,,['John Phelps'],Tolland County,town,
172,78.0,31.0,39.0,16.0,,,Springfield,MA,,['Charles Sheldon'],Hampshire County,town,78.31
