,Index,Original Name,Search Name,Name #,Match Status,Match Reason,Location,Family Size,Slavecount,url,town,county,state,geo_level
64,62,['Hezekiah Goodwin'],"[""['Hezekiah Goodwin']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hezekiah_Goodwin&name_x=ps_ps&residence=_sharon-litchfield-connecticut-usa_3287&residence_x=1-0_1-1,Sharon,Litchfield County,CT,town
65,63,['Andrew Fitch'],['Andrus Fitch'],1,Match,Full Match,"New London, Connecticut",9,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=andrew_Fitch&name_x=1_1&residence=_lebanon-new+london-connecticut-usa_3374&residence_x=1-0_1-1,Lebanon,New London County,CT,town
66,64,['Jacob Pratt'],"[""['Jacob Pratt']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Pratt&name_x=ps_ps&residence=_Somers-Tolland+County-Connecticut&residence_x=1-0_1-1,Somers,Tolland County,CT,town
67,65,['Samuel W Williams'],['Samuel W'],1,Match,Full Match,"Wethersfield, Hartford, Connecticut",9,2,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel+W_Williams&name_x=1_1&residence=_wethersfield-hartford-connecticut-usa_2999&residence_x=1-0_1-0,Wethersfield,Hartford County,CT,town
68,67,"['Solomon Windham', 'Solomon Wadham']",['Solomon Windham'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Solomon_Windham&name_x=ps_ps&residence=_goshen-litchfield-connecticut-usa_3265&residence_x=1-0_1-1,Goshen,Litchfield County,CT,town
69,67,"['Solomon Windham', 'Solomon Wadham']",['Solomon Wadham'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Solomon_Wadham&name_x=ps_ps&residence=_goshen-litchfield-connecticut-usa_3265&residence_x=1-0_1-1,Goshen,Litchfield County,CT,town
70,68,['Noadiah Hooker'],['Noadiah Hooker'],1,Match,Full Match,"Farmington, Hartford, Connecticut",12,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Noadiah_Hooker&name_x=1_1&residence=_farmington-hartford-connecticut-usa_748&residence_x=1-0_1-0,Farmington,Hartford County,CT,town
71,69,['Ebenezer Miller'],"[""['Ebenezer Miller']""]",1,Match,Only Location Found, Litchfield,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ebenezer_Miller&name_x=1_1&residence=_torrington-litchfield-connecticut-usa_3292&residence_x=1-0_1-1,Torrington,Litchfield County,CT,town
72,70,['Thomas Russell'],['Thomas Russell'],1,Match,Full Match,"Boston, Suffolk, Massachusetts",2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Russell&name_x=1_1&residence=_boston-suffolk-massachusetts-usa_4668&residence_x=1-0_1-0,Boston,Suffolk County,MA,town
73,71,['David Trumbull'],"[""['David Trumbull']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Trumbull&name_x=ps_ps&residence=_lebanon-new+london-connecticut-usa_3374&residence_x=1-0_1-1,Lebanon,New London County,CT,town
74,72,['Richard R Eliot'],"[""['Richard R Eliot']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard+R_Eliot&name_x=ps_ps&residence=_watertown-litchfield-connecticut-usa_3296&residence_x=1-0_1-1,Watertown,Litchfield County,CT,town
75,73,['Andrew Huntington'],"[""['andrew Huntington']""]",1,Match,Only Location Found, Connecticut,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=andrew_Huntington&name_x=s_s&residence=_norwich-new+london-connecticut-usa_3387&residence_x=1-0_1-1,Norwich,New London County,CT,town
76,74,['Hannah Huntington'],"[""['Hannah Huntington']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hannah_Huntington&name_x=ps_ps&residence=_norwich-new+london-connecticut-usa_3387&residence_x=1-0_1-1,Norwich,New London County,CT,town
77,75,"['Pownal Deming', 'Pownal Deming III']",['Pownal Deming Iii'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Pownal+Deming_Iii&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-1,Hartford,Hartford County,CT,town
78,75,"['Pownal Deming', 'Pownal Deming III']",['Pownal Deming'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Pownal_Deming&name_x=ps_ps&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-1,Hartford,Hartford County,CT,town
79,76,['Elijah Cowles'],"[""['Elijah Cowles']""]",1,Match,Only Location Found, Hartford,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elijah_Cowles&name_x=1_1&residence=_farmington-hartford-connecticut-usa_748&residence_x=1-0_1-0,Farmington,Hartford County,CT,town
80,77,['Aaron Bull'],['Aaron Bull'],1,Match,Full Match,"Hartford, Hartford, Connecticut",10,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Aaron_Bull&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-0,Hartford,Hartford County,CT,town
81,78,['Charles Phelps'],"[""['Charles Phelps']""]",1,Match,Only Location Found, Connecticut,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Phelps&name_x=1_1&residence=_stonington-new+london-connecticut-usa_3399&residence_x=1-0_1-1,Stonington,New London County,CT,town
82,79,['Pierpont Bacon'],['Pierpoint Bacon'],1,Match,Full Match,"New London, Connecticut",10,6,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Pierpont_Bacon&name_x=s_s&residence=_colchester-new+london-connecticut-usa_3363&residence_x=1-0_1-1,Colchester,New London County,CT,town
83,80,"['Elias Peek', 'Elias Peck']",['Elias Peck'],1,Match,Full Match,"New London, Connecticut",9,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elias_Peek&name_x=ps_ps&residence=_colchester-new+london-connecticut-usa_3363&residence_x=1-0_1-1,Colchester,New London County,CT,town
84,80,"['Elias Peek', 'Elias Peck']",['Elias Peck'],1,Match,Full Match,"New London, Connecticut",9,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elias_Peck&name_x=1_1&residence=_colchester-new+london-connecticut-usa_3363&residence_x=1-0_1-1,Colchester,New London County,CT,town
85,81,['John Trumbull'],['John Trumble'],1,Match,Full Match,"Hartford, Hartford, Connecticut",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Trumbull&name_x=s_s&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-0,Hartford,Hartford County,CT,town
