Last Name,First Name,Position,State,County / Town,Vote
Horsefield,Joseph,,PA,,yes
Deshler,David,,PA,,yes
Wilson,William,,PA,,yes
Boyd,John,,PA,,yes
Scott,Thomas,,PA,,yes
Nevill,John,,PA,,yes
Roberts,Jonathan,,PA,,yes
Richards,John,,PA,,yes
Morris,James,,PA,,yes
Pickering,Timothy,,PA,,yes
Elliott,Benjamin,,PA,,yes
Allison,John,,PA,,yes
Campbell,James,Secretary,PA,,did not vote
Whitehill,John,,PA,,no
Harris,John,,PA,,no
Reynolds,John,,PA,,no
Whitehill,Robert,,PA,,no
Hoge,Jonathan,,PA,,no
Lutz,Nicholas,,PA,,no
Ludwig,John,,PA,,no
Lincoln,Abraham,,PA,,no
Bishop,John,,PA,,no
Heister,Joseph,,PA,,no
Martin,James,,PA,,no
Powell,Joseph,,PA,,no
Findley,William ,,PA,,no
Baird,John,,PA,,no
Todd,William,,PA,,no
Marshall,James,,PA,,no
Edgar,James,,PA,,no
Breading,Nicholas,,PA,,no
Smilie,John,,PA,,no
Bard,Richardson,,PA,,no
Brown,William,,PA,,no
Orth,Adam,,PA,,no
Hanna,John Andre,,PA,,no
Hancock,John,,MA,Boston,yes
Bowdoin,James,,MA,Boston,yes
Adams,Samuel,,MA,Boston,yes
Phillips,William,,MA,Boston,yes
Davis,Caleb,,MA,Boston,yes
Jarvis,Charles,,MA,Boston,yes
Jones,John Coffin,,MA,Boston,yes
Winthrop,John,,MA,Boston,yes
Dawes,Thomas,,MA,Boston,yes
Stillman,Samuel,,MA,Boston,yes
Russel,Thomas,,MA,Boston,yes
Gore,Christopher,,MA,Boston,yes
Heath,William,,MA,Roxbury,yes
Sumner,Increase,,MA,Roxbury,yes
Bowdoin,James,,MA,Dorchester,yes
Wales,Ebenezer,,MA,Dorchester,yes
Robbins,Nathaniel,,MA,Milton,yes
Tufts,Cotton,,MA,Weymouth,yes
Lincoln,Benjamin,,MA,Hingham,yes
Shute,Daniel,,MA,Hingham,yes
Cranch,Richard,,MA,Braintree,yes
Wibird,Anthony,,MA,Braintree,yes
Jackson,Joseph,,MA,Brookline,yes
Thacher,Thomas,,MA,Dedham,yes
Ames,Fisher,,MA,Dedham,yes
M'Intosh,William,,MA,Needham,yes
Baxter,John,,MA,Medfield,yes
Dunbar,Elijah,,MA,Stoughton,yes
Southworth,Jedediah,,MA,Stoughton,no
Man,Thomas,,MA,Wrentham,yes
Comstock,Nathan,,MA,Wrentham,yes
Payson,George,,MA,Walpole,yes
Randall,Benjamin,,MA,Sharon,no
Fisher,J.,,MA,Franklin,yes
Richardson,M.,,MA,Medway,no
Alden,Noah,,MA,Bellingham,no
Payson,Phillips,,MA,Chelsea,yes
Warren,Ebenezer,,MA,Foxboro,yes
Jones,Thomas,,MA,Hull,yes
Manning,Richard,,MA,Salem,yes
Pulling,Edward,,MA,Salem,yes
Gray Jun.,William,,MA,Salem,yes
Cabot,Francis,,MA,Salem,yes
Hutchinson,Is.,,MA,Danvers,no
Dalton,Tristam,,MA,Newbury,yes
Sawyer,Enos,,MA,Newbury,yes
March,E.,,MA,Newbury,yes
King,Rufus,,MA,Newburyport,yes
Greenleaf,Benjamin,,MA,Newburyport,yes
Parsons,Theophilus,,MA,Newburyport,yes
Titcomb,Jonathan,,MA,Newburyport,yes
Cabot,G.,,MA,Beverly,yes
